#BGC_ID	Product	Class	Organism	Taxonomy
BGC	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
SD_QD_contig_6038408.region001	terpene	Terpene	Genus species Unclassified.	
SD_QD_contig_6156853.region001	T3PKS	PKSother	Genus species Unclassified.	
SD_QD_contig_6333761.region001	terpene	Terpene	Genus species Unclassified.	
SD_QD_contig_6415441.region001	NRPS	NRPS	Genus species Unclassified.	
SD_QD_contig_646456.region001	terpene	Terpene	Genus species Unclassified.	
SD_QD_contig_6635430.region001	other	Others	Genus species Unclassified.	
SD_QD_contig_6873760.region001	other	Others	Genus species Unclassified.	
SD_QD_contig_6912869.region001	terpene	Terpene	Genus species Unclassified.	
SD_QD_contig_6956646.region001	RiPP-like	RiPPs	Genus species Unclassified.	
SD_QD_contig_7088487.region001	NRPS-like	NRPS	Genus species Unclassified.	
SD_QD_contig_7169497.region001	betalactone	Others	Genus species Unclassified.	
SD_QD_contig_7252293.region001	RiPP-like	RiPPs	Genus species Unclassified.	
SD_QD_contig_7344002.region001	RRE-containing	RiPPs	Genus species Unclassified.	
SD_QD_contig_7360431.region001	ectoine	Others	Genus species Unclassified.	
SD_QD_contig_7460187.region001	terpene	Terpene	Genus species Unclassified.	
SD_QD_contig_765150.region001	terpene	Terpene	Genus species Unclassified.	
SD_QD_contig_7805963.region001	NRPS	NRPS	Genus species Unclassified.	
SD_QD_contig_7841379.region001	hydrogen-cyanide	Others	Genus species Unclassified.	
SD_QD_contig_7936787.region001	phosphonate	Others	Genus species Unclassified.	
SD_QD_contig_8037598.region001	RiPP-like	RiPPs	Genus species Unclassified.	
SD_QD_contig_8042871.region001	RiPP-like	RiPPs	Genus species Unclassified.	
SD_QD_contig_809665.region001	hglE-KS	PKSother	Genus species Unclassified.	
SD_QD_contig_820971.region001	NRPS.T1PKS	PKS-NRP_Hybrids	Genus species Unclassified.	
SD_QD_contig_8225937.region001	NRPS-like	NRPS	Genus species Unclassified.	
SD_QD_contig_8242568.region001	hydrogen-cyanide	Others	Genus species Unclassified.	
SD_QD_contig_8396130.region001	acyl_amino_acids	Others	Genus species Unclassified.	
SD_QD_contig_855976.region001	RiPP-like	RiPPs	Genus species Unclassified.	
SD_QD_contig_8621553.region001	RRE-containing	RiPPs	Genus species Unclassified.	
SD_QD_contig_866090.region001	NRPS	NRPS	Genus species Unclassified.	
SD_QD_contig_8808406.region001	NAPAA	NRPS	Genus species Unclassified.	
SD_QD_contig_8843607.region001	NRPS	NRPS	Genus species Unclassified.	
SD_QD_contig_89757.region001	T3PKS	PKSother	Genus species Unclassified.	
SD_QD_contig_8979393.region001	NRPS-like	NRPS	Genus species Unclassified.	
SD_QD_contig_9101399.region001	lanthipeptide-class-i	RiPPs	Genus species Unclassified.	
SD_QD_contig_9112612.region001	RiPP-like	RiPPs	Genus species Unclassified.	
SD_QD_contig_9410014.region001	arylpolyene.resorcinol	Others	Genus species Unclassified.	
SD_QD_contig_9447142.region001	terpene	Terpene	Genus species Unclassified.	
SD_QD_contig_9464572.region001	NRPS-like	NRPS	Genus species Unclassified.	
SD_QD_contig_9789589.region001	RiPP-like	RiPPs	Genus species Unclassified.	
SD_QD_contig_9822845.region001	terpene	Terpene	Genus species Unclassified.	
SD_QD_contig_9858908.region001	NRPS	NRPS	Genus species Unclassified.	
SD_QD_contig_9889095.region001	phosphonate	Others	Genus species Unclassified.	
ZJ_NB_contig_10013518.region001	lassopeptide.RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_10063526.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_10081781.region001	ranthipeptide	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_10083127.region001	ectoine	Others	Genus species Unclassified.	
ZJ_NB_contig_1028467.region001	phosphonate	Others	Genus species Unclassified.	
ZJ_NB_contig_10317887.region001	ranthipeptide	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_10329252.region001	lassopeptide	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_10338253.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_10371558.region001	cyanobactin	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_10389365.region001	T1PKS	PKSI	Genus species Unclassified.	
ZJ_NB_contig_10419259.region001	phosphonate	Others	Genus species Unclassified.	
ZJ_NB_contig_10434525.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_10452579.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_10563560.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_10569868.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_107160.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_10769806.region001	ranthipeptide	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_10798899.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_10862988.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_11016071.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_11200412.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_11238151.region001	arylpolyene	Others	Genus species Unclassified.	
ZJ_NB_contig_11356233.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_11408289.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_1145485.region001	phosphonate	Others	Genus species Unclassified.	
ZJ_NB_contig_1171480.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_11737497.region001	NRPS	NRPS	Genus species Unclassified.	
ZJ_NB_contig_11738234.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_1191264.region001	redox-cofactor	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_11986924.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_12027670.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_12027887.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_12141422.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_12143323.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_12165824.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_12217902.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_12255980.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_12399028.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_12408673.region001	arylpolyene	Others	Genus species Unclassified.	
ZJ_NB_contig_12427237.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_12457232.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_12457904.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_12662618.region001	phosphonate	Others	Genus species Unclassified.	
ZJ_NB_contig_12814060.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_12822992.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_12880739.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_12885034.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_12908492.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_12971323.region001	NAGGN	Others	Genus species Unclassified.	
ZJ_NB_contig_13006490.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_13031887.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_13170167.region001	NRPS	NRPS	Genus species Unclassified.	
ZJ_NB_contig_13177205.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_1333191.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_13344857.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_13371082.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_13465792.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_13550806.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_13557772.region001	ectoine	Others	Genus species Unclassified.	
ZJ_NB_contig_13649733.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_13726994.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_13769179.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_13855271.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_13889603.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_14065649.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_14082006.region001	hserlactone	Others	Genus species Unclassified.	
ZJ_NB_contig_14548211.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_14570951.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_1457215.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_14691357.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_1486200.region001	T1PKS	PKSI	Genus species Unclassified.	
ZJ_NB_contig_14911987.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_14949570.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_14958119.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_14974804.region001	resorcinol	Others	Genus species Unclassified.	
ZJ_NB_contig_14978916.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_15306841.region001	NRPS.T1PKS	PKS-NRP_Hybrids	Genus species Unclassified.	
ZJ_NB_contig_15436742.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_1545690.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_15508825.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_15685374.region001	redox-cofactor	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_15753809.region001	NRPS	NRPS	Genus species Unclassified.	
ZJ_NB_contig_15764332.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_15771104.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_15772162.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_15816684.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_15854276.region001	hydrogen-cyanide	Others	Genus species Unclassified.	
ZJ_NB_contig_16140081.region001	arylpolyene	Others	Genus species Unclassified.	
ZJ_NB_contig_16165375.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_1618584.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_16248788.region001	NRPS	NRPS	Genus species Unclassified.	
ZJ_NB_contig_16271411.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_16328516.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_16542536.region001	hglE-KS.T1PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_16564760.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_16657167.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_16731080.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_16816660.region001	NRPS	NRPS	Genus species Unclassified.	
ZJ_NB_contig_16979406.region001	NRPS-like.NRPS	NRPS	Genus species Unclassified.	
ZJ_NB_contig_16979922.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_17010780.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_17011250.region001	NRPS	NRPS	Genus species Unclassified.	
ZJ_NB_contig_17107926.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_17545928.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_17635053.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_17702607.region001	HR-T2PKS	Others	Genus species Unclassified.	
ZJ_NB_contig_17821485.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_17883562.region001	lassopeptide.RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_17908664.region001	arylpolyene	Others	Genus species Unclassified.	
ZJ_NB_contig_18013340.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_18018078.region001	ranthipeptide	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_18088579.region001	NRPS.T1PKS	PKS-NRP_Hybrids	Genus species Unclassified.	
ZJ_NB_contig_1819021.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_18201278.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_18321455.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_18337101.region001	NRPS-like.NRPS	NRPS	Genus species Unclassified.	
ZJ_NB_contig_18715946.region001	T1PKS	PKSI	Genus species Unclassified.	
ZJ_NB_contig_18853289.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_19080253.region001	ectoine	Others	Genus species Unclassified.	
ZJ_NB_contig_19138886.region001	NRPS	NRPS	Genus species Unclassified.	
ZJ_NB_contig_19249320.region001	arylpolyene	Others	Genus species Unclassified.	
ZJ_NB_contig_19472344.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_19621808.region001	hserlactone	Others	Genus species Unclassified.	
ZJ_NB_contig_19660243.region001	arylpolyene	Others	Genus species Unclassified.	
ZJ_NB_contig_19684568.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_19949552.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_19968385.region001	hydrogen-cyanide	Others	Genus species Unclassified.	
ZJ_NB_contig_19985142.region001	T1PKS	PKSI	Genus species Unclassified.	
ZJ_NB_contig_20327000.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_20336116.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_20381796.region001	lassopeptide.RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_2048085.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_20579921.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_20794411.region001	NRPS	NRPS	Genus species Unclassified.	
ZJ_NB_contig_2079545.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_20838337.region001	LAP	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_20924434.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_21191552.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_21242659.region001	arylpolyene	Others	Genus species Unclassified.	
ZJ_NB_contig_21300959.region001	arylpolyene	Others	Genus species Unclassified.	
ZJ_NB_contig_21302675.region001	hserlactone	Others	Genus species Unclassified.	
ZJ_NB_contig_21327899.region001	ranthipeptide	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_21371298.region001	other	Others	Genus species Unclassified.	
ZJ_NB_contig_21431632.region001	redox-cofactor	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_2150996.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_21516717.region001	hydrogen-cyanide	Others	Genus species Unclassified.	
ZJ_NB_contig_21754971.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_21777006.region001	hglE-KS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_21863658.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_21900360.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_22219828.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_22315670.region001	hglE-KS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_22334498.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_22424059.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_22466019.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_2251211.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_22552193.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_22754226.region001	arylpolyene	Others	Genus species Unclassified.	
ZJ_NB_contig_22755662.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_22767887.region001	ectoine	Others	Genus species Unclassified.	
ZJ_NB_contig_228189.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_22832207.region001	resorcinol	Others	Genus species Unclassified.	
ZJ_NB_contig_2300178.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_23006685.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_23209905.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_23219189.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_23243205.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_23362291.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_23565462.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_23668245.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_23671343.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_23690131.region001	hserlactone	Others	Genus species Unclassified.	
ZJ_NB_contig_23740989.region001	arylpolyene	Others	Genus species Unclassified.	
ZJ_NB_contig_23885417.region001	ranthipeptide	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_23972005.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_23972987.region001	ectoine	Others	Genus species Unclassified.	
ZJ_NB_contig_24093290.region001	NRPS	NRPS	Genus species Unclassified.	
ZJ_NB_contig_24184818.region001	HR-T2PKS	Others	Genus species Unclassified.	
ZJ_NB_contig_24271482.region001	T1PKS	PKSI	Genus species Unclassified.	
ZJ_NB_contig_24388980.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_24390068.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_24416829.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_24573754.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_24804868.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_24857457.region001	redox-cofactor	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_24960727.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_2503381.region001	ranthipeptide	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_25053115.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_2520516.region001	NRPS-like.T1PKS	PKS-NRP_Hybrids	Genus species Unclassified.	
ZJ_NB_contig_25218362.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_25232384.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_25238410.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_25322387.region001	NRPS	NRPS	Genus species Unclassified.	
ZJ_NB_contig_25324224.region001	ectoine	Others	Genus species Unclassified.	
ZJ_NB_contig_25364102.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_25364130.region001	resorcinol	Others	Genus species Unclassified.	
ZJ_NB_contig_25364155.region001	T1PKS	PKSI	Genus species Unclassified.	
ZJ_NB_contig_2557453.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_2557893.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_25594304.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_25691219.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_25766838.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_25849683.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_25857530.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_2590867.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_25947745.region001	NRPS.T1PKS	PKS-NRP_Hybrids	Genus species Unclassified.	
ZJ_NB_contig_26060206.region001	hserlactone	Others	Genus species Unclassified.	
ZJ_NB_contig_26069833.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_26071621.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_26084980.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_26179855.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_26390772.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_26402088.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_26443203.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_26542576.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_26609016.region001	arylpolyene	Others	Genus species Unclassified.	
ZJ_NB_contig_2672337.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_26751683.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_26821696.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_2696482.region001	arylpolyene	Others	Genus species Unclassified.	
ZJ_NB_contig_2697247.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_27008453.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_2714131.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_27348246.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_27585192.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_2758529.region001	HR-T2PKS	Others	Genus species Unclassified.	
ZJ_NB_contig_27863618.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_27948996.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_28117174.region001	hglE-KS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_28121998.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_28352174.region001	crocagin	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_28365940.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_28396960.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_28585415.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_28661671.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_28707387.region001	arylpolyene	Others	Genus species Unclassified.	
ZJ_NB_contig_28761301.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_2948388.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_3017658.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_3103871.region001	T1PKS	PKSI	Genus species Unclassified.	
ZJ_NB_contig_3118532.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_3442412.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_3442412.region002	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_3689460.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_3746119.region001	hydrogen-cyanide	Others	Genus species Unclassified.	
ZJ_NB_contig_3749203.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_3771316.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_3809566.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_3812857.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_3828479.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_3955562.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_3967096.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_4036110.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_4036110.region002	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_4147113.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_4148795.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_4161933.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_4164458.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_4165638.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_4174964.region001	NRPS-like.NRPS	NRPS	Genus species Unclassified.	
ZJ_NB_contig_4210518.region001	RRE-containing	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_4217584.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_4240251.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_4278890.region001	T3PKS.RRE-containing	Others	Genus species Unclassified.	
ZJ_NB_contig_4343652.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_4452327.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_4472493.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_4498069.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_4549270.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_4556953.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_4585553.region001	NAGGN	Others	Genus species Unclassified.	
ZJ_NB_contig_4777891.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_4929365.region001	resorcinol	Others	Genus species Unclassified.	
ZJ_NB_contig_5154186.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_5179525.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_5287739.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_5290923.region001	LAP	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_5399620.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_5406829.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_5407168.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_543294.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_546493.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_5511388.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_5550493.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_556883.region001	T3PKS	PKSother	Genus species Unclassified.	
ZJ_NB_contig_5608946.region001	LAP	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_5616585.region001	betalactone	Others	Genus species Unclassified.	
ZJ_NB_contig_5804141.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_5820284.region001	arylpolyene	Others	Genus species Unclassified.	
ZJ_NB_contig_5829212.region001	phosphonate	Others	Genus species Unclassified.	
ZJ_NB_contig_5838404.region001	RiPP-like	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_5940340.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_620586.region001	NRPS-like	NRPS	Genus species Unclassified.	
ZJ_NB_contig_6274699.region001	thiopeptide	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_6301441.region001	terpene	Terpene	Genus species Unclassified.	
ZJ_NB_contig_6315880.region001	thioamitides	RiPPs	Genus species Unclassified.	
ZJ_NB_contig_6346229.region001	nucleoside	Others	Genus species Unclassified.	
ZJ_NB_contig_6380022.region001	terpene	Terpene	Genus species Unclassified.	
